"kind","workload","input","metric","observed","ceiling","unit","status","notes"
"latency_ratio","key_sequence_process_with_context","n","yune_librime_median_ratio","2.824","0.001","x","fail","Synthetic breach: latency_ratio row intentionally set below any valid observed value."
"latency_ratio","key_sequence_process_with_context","ni","yune_librime_median_ratio","3.092","3.223","x","pass","M52 phase-0 baseline plus small run-noise headroom; bounded-microsecond disposition row."
"latency_ratio","key_sequence_process_with_context","hao","yune_librime_median_ratio","2.163","2.287","x","pass","M52 phase-0 baseline plus small run-noise headroom; short normal Track A row."
"latency_ratio","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","yune_librime_median_ratio","3.003","3.267","x","pass","M52 phase-0 baseline plus small run-noise headroom; 37-character Luna row."
"latency_ratio","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","yune_librime_median_ratio","2.290","2.447","x","pass","M52 phase-0 baseline plus small run-noise headroom; existing 59-character Luna row promoted into the gate."
"memory_peak","","","track_a_peak_working_set_bytes","188477440","1","bytes","fail","Synthetic breach: memory_peak row intentionally set below any valid observed value."
"latency_ratio","key_sequence_process_with_context","zhongguo","yune_librime_median_ratio","0.271","0.320","x","pass","M55 Phase 0 win-row ceiling: min(0.95x, worst-of-3 baseline x 1.20); must remain <1.00x."
"latency_ratio","key_sequence_process_with_context","cszysmsrsd","yune_librime_median_ratio","0.432","0.724","x","pass","M55 Phase 0 win-row ceiling: min(0.95x, worst-of-3 baseline x 1.20); must remain <1.00x."
"latency_ratio","key_sequence_process_with_context","zybfshmsru","yune_librime_median_ratio","0.630","0.950","x","pass","M55 Phase 0 win-row ceiling: min(0.95x, worst-of-3 baseline x 1.20); must remain <1.00x."
"latency_absolute_us","startup_warm_shared_assets_runtime_ready","","median_us","23497.100","1","us","fail","Synthetic breach: latency_absolute_us row intentionally set below any valid observed value."
"latency_absolute_us","session_create_select_destroy","","median_us","23212.100","26209.370","us","pass","M55 Phase 0 startup/session absolute ceiling: ratio spread 48.0% exceeded 10%; worst-of-3 Yune median x 1.10."
"latency_absolute_us","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_us","327.539","367.677","us","pass","M55 Phase 0 Track B product absolute ceiling: worst-of-3 baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_working_set_bytes","253112320","1","bytes","fail","Synthetic breach: memory_absolute_bytes row intentionally set below any valid observed value."
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","max_peak_working_set_bytes","512716800","564101120","bytes","pass","M55 Phase 0 Track B product absolute ceiling: worst-of-3 baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","median_private_bytes","181915648","199143014","bytes","pass","M55 Phase 0 Track B product absolute ceiling: worst-of-3 baseline x 1.10; regression guard only, no TypeDuck speed claim."
"latency_absolute_us","track-b-product/session_create_select_destroy","","median_us","98066.100","110593.780","us","pass","M55 Phase 0 Track B product absolute ceiling: worst-of-3 baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","median_working_set_bytes","224026624","246668083","bytes","pass","M55 Phase 0 Track B product absolute ceiling: worst-of-3 baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","max_peak_working_set_bytes","512716800","564101120","bytes","pass","M55 Phase 0 Track B product absolute ceiling: worst-of-3 baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/session_create_select_destroy","","median_private_bytes","176873472","193619149","bytes","pass","M55 Phase 0 Track B product absolute ceiling: worst-of-3 baseline x 1.10; regression guard only, no TypeDuck speed claim."
"latency_absolute_us","track-b-product/startup_warm_shared_assets_runtime_ready","","median_us","96498.100","109015.170","us","pass","M55 Phase 0 Track B product absolute ceiling: worst-of-3 baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","median_working_set_bytes","252612608","278121677","bytes","pass","M55 Phase 0 Track B product absolute ceiling: worst-of-3 baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","max_peak_working_set_bytes","512716800","564101120","bytes","pass","M55 Phase 0 Track B product absolute ceiling: worst-of-3 baseline x 1.10; regression guard only, no TypeDuck speed claim."
"memory_absolute_bytes","track-b-product/startup_warm_shared_assets_runtime_ready","","median_private_bytes","181899264","199143014","bytes","pass","M55 Phase 0 Track B product absolute ceiling: worst-of-3 baseline x 1.10; regression guard only, no TypeDuck speed claim."
